b00,b01,u0,b10,b11,u1
0.0,0.0,1.0,0.5,0.25,0.25
0.0,0.0,1.0,0.51,0.24,0.25
0.0,0.0,1.0,0.52,0.23,0.25
0.0,0.0,1.0,0.53,0.22,0.25
0.0,0.0,1.0,0.54,0.21,0.25
0.0,0.0,1.0,0.55,0.2,0.25
0.0,0.0,1.0,0.56,0.19,0.25
0.0,0.0,1.0,0.57,0.18,0.25
0.0,0.0,1.0,0.58,0.17,0.25
0.0,0.0,1.0,0.59,0.16,0.25
0.0,0.0,1.0,0.6,0.15,0.25
0.0,0.0,1.0,0.61,0.14,0.25
0.0,0.0,1.0,0.62,0.13,0.25
0.0,0.0,1.0,0.63,0.12,0.25
0.0,0.0,1.0,0.64,0.11,0.25
0.0,0.0,1.0,0.65,0.1,0.25
0.0,0.0,1.0,0.66,0.09,0.25
0.0,0.0,1.0,0.67,0.08,0.25
0.0,0.0,1.0,0.68,0.07,0.25
0.0,0.0,1.0,0.69,0.06,0.25
0.0,0.0,1.0,0.7,0.05,0.25
