b00,b01,u0,b10,b11,u1
0.95,0.00,0.05,0.60,0.00,0.40
0.95,0.00,0.05,0.65,0.00,0.35
0.95,0.00,0.05,0.70,0.00,0.30
0.95,0.00,0.05,0.75,0.00,0.25
0.95,0.00,0.05,0.80,0.00,0.20
