b00,b01,u0,b10,b11,u1
0.95,0.0,0.05,0.0,0.4,0.6
0.95,0.0,0.05,0.0,0.41,0.59
0.95,0.0,0.05,0.0,0.42,0.58
0.95,0.0,0.05,0.0,0.43,0.57
0.95,0.0,0.05,0.0,0.44,0.56
0.95,0.0,0.05,0.0,0.45,0.55
0.95,0.0,0.05,0.0,0.46,0.54
0.95,0.0,0.05,0.0,0.47,0.53
0.95,0.0,0.05,0.0,0.48,0.52
0.95,0.0,0.05,0.0,0.49,0.51
0.95,0.0,0.05,0.0,0.5,0.5
0.95,0.0,0.05,0.0,0.51,0.49
0.95,0.0,0.05,0.0,0.52,0.48
0.95,0.0,0.05,0.0,0.53,0.47
0.95,0.0,0.05,0.0,0.54,0.46
0.95,0.0,0.05,0.0,0.55,0.45
0.95,0.0,0.05,0.0,0.56,0.44
0.95,0.0,0.05,0.0,0.57,0.43
0.95,0.0,0.05,0.0,0.58,0.42
0.95,0.0,0.05,0.0,0.59,0.41
0.95,0.0,0.05,0.0,0.6,0.4
