b00,b01,u0,b10,b11,u1
0.7,0.0,0.3,0.0,0.85,0.15
0.7,0.0,0.3,0.01,0.84,0.15
0.7,0.0,0.3,0.02,0.83,0.15
0.7,0.0,0.3,0.03,0.82,0.15
0.7,0.0,0.3,0.04,0.81,0.15
0.7,0.0,0.3,0.05,0.8,0.15
0.7,0.0,0.3,0.06,0.79,0.15
0.7,0.0,0.3,0.07,0.78,0.15
0.7,0.0,0.3,0.08,0.77,0.15
0.7,0.0,0.3,0.09,0.76,0.15
0.7,0.0,0.3,0.1,0.75,0.15
0.7,0.0,0.3,0.11,0.74,0.15
0.7,0.0,0.3,0.12,0.73,0.15
0.7,0.0,0.3,0.13,0.72,0.15
0.7,0.0,0.3,0.14,0.71,0.15
0.7,0.0,0.3,0.15,0.7,0.15
0.7,0.0,0.3,0.16,0.69,0.15
0.7,0.0,0.3,0.17,0.68,0.15
0.7,0.0,0.3,0.18,0.67,0.15
0.7,0.0,0.3,0.19,0.66,0.15
0.7,0.0,0.3,0.2,0.65,0.15
