b00,b01,u0,b10,b11,u1
0.51,0.0,0.49,0.0,0.7,0.3
0.51,0.0,0.49,0.01,0.69,0.3
0.51,0.0,0.49,0.02,0.68,0.3
0.51,0.0,0.49,0.03,0.67,0.3
0.51,0.0,0.49,0.04,0.66,0.3
0.51,0.0,0.49,0.05,0.65,0.3
0.51,0.0,0.49,0.06,0.64,0.3
0.51,0.0,0.49,0.07,0.63,0.3
0.51,0.0,0.49,0.08,0.62,0.3
0.51,0.0,0.49,0.09,0.61,0.3
0.51,0.0,0.49,0.1,0.6,0.3
0.51,0.0,0.49,0.11,0.59,0.3
0.51,0.0,0.49,0.12,0.58,0.3
0.51,0.0,0.49,0.13,0.57,0.3
0.51,0.0,0.49,0.14,0.56,0.3
0.51,0.0,0.49,0.15,0.55,0.3
0.51,0.0,0.49,0.16,0.54,0.3
0.51,0.0,0.49,0.17,0.53,0.3
0.51,0.0,0.49,0.18,0.52,0.3
0.51,0.0,0.49,0.19,0.51,0.3
0.51,0.0,0.49,0.2,0.5,0.3
